construction,slot_id,slot_index,cc_count,cxn_count,sem_count,str_count,inf_count,ccs
engLME_AdjectivalwithPARTNERConstruction,engLME_AdjectivalwithPARTNERConstruction_3,3,49,28,0,21,0,"cxn:attributive-phrase, cxn:adjectival-phrase, str:flagging, str:adposition, str:preposition, cxn:referring-phrase, cxn:head, cxn:attributive-phrase, cxn:adjectival-phrase, str:flagging, str:adposition, str:preposition, cxn:referring-phrase, cxn:head, cxn:attributive-phrase, cxn:adjectival-phrase, str:flagging, str:adposition, str:preposition, cxn:referring-phrase, cxn:head, cxn:attributive-phrase, cxn:adjectival-phrase, str:flagging, str:adposition, str:preposition, cxn:referring-phrase, cxn:head, cxn:attributive-phrase, cxn:adjectival-phrase, str:flagging, str:adposition, str:preposition, cxn:referring-phrase, cxn:head, cxn:attributive-phrase, cxn:adjectival-phrase, str:flagging, str:adposition, str:preposition, cxn:referring-phrase, cxn:head, cxn:attributive-phrase, cxn:adjectival-phrase, str:flagging, str:adposition, str:preposition, cxn:referring-phrase, cxn:head"
engLME_AdjectivalwithPARTNERConstruction,engLME_AdjectivalwithPARTNERConstruction,1,16,8,0,4,4,"cxn:referring-phrase, cxn:modification-construction, inf:modification, str:word-order, cxn:referring-phrase, cxn:modification-construction, inf:modification, str:word-order, cxn:referring-phrase, cxn:modification-construction, inf:modification, str:word-order, cxn:referring-phrase, cxn:modification-construction, inf:modification, str:word-order"
engLME_AdjectivalwithPARTNERConstruction,engLME_AdjectivalwithPARTNERConstruction_1,1,1,1,0,0,0,cxn:referent-expression
engLME_AdjectivalwithPARTNERConstruction,engLME_AdjectivalwithPARTNERConstruction_2,2,9,6,3,0,0,"cxn:modifier, cxn:adjective, sem:property-concept, cxn:modifier, cxn:adjective, sem:property-concept, cxn:modifier, cxn:adjective, sem:property-concept"
engLME_AdjectiveConstruction,engLME_AdjectiveConstruction_1,1,25,20,5,0,0,"cxn:modifier, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept, cxn:modifier, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept, cxn:modifier, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept, cxn:modifier, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept, cxn:modifier, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept"
engLME_AdjectiveConstruction,engLME_AdjectiveConstruction,1,9,6,0,0,3,"inf:modification, cxn:modification-construction, cxn:referring-phrase, inf:modification, cxn:modification-construction, cxn:referring-phrase, inf:modification, cxn:modification-construction, cxn:referring-phrase"
engLME_AdjectiveConstruction,engLME_AdjectiveConstruction_2,2,1,1,0,0,0,cxn:referent-expression
engLME_ComparativeConstruction,engLME_ComparativeConstruction_1,1,9,3,3,3,0,"cxn:comparative-form, sem:comparative-degree, str:degree-marker, cxn:comparative-form, sem:comparative-degree, str:degree-marker, cxn:comparative-form, sem:comparative-degree, str:degree-marker"
engLME_ComparativeConstruction,engLME_ComparativeConstruction_3,3,1,0,0,1,0,str:conjunction
engLME_ComparativeConstruction,engLME_ComparativeConstruction,2,9,3,3,3,0,"cxn:comparative-construction, sem:comparative-relation, str:particle-comparative, cxn:comparative-construction, sem:comparative-relation, str:particle-comparative, cxn:comparative-construction, sem:comparative-relation, str:particle-comparative"
