,engLME_AdjectivalwithPARTNERConstruction,engLME_AdjectiveConstruction,engLME_ComparativeConstruction,engLME_GeneralPostmodifierofAdjectiveConstruction,engLME_MoreThanComparisonConstructiontype1,engLME_MoreThanComparisonConstructiontype2,engLME_MoreThanComparisonConstructiontype3,engLME_MostLeastConstruction,engLME_PremodifierofAdjectiveConstruction,engLME_SuperlativeConstruction
engLME_AdjectivalwithPARTNERConstruction,1.0,0.7605262715393369,0.21731521887250663,0.6102371424428811,0.41552457380447255,0.2701262589663486,0.29169407245101114,0.5922678388551766,0.5304379825122831,0.6165429469398404
engLME_AdjectiveConstruction,0.7605262715393369,1.0,0.20130300802791865,0.5829683381853462,0.43152784459122806,0.31592458432771187,0.33992674321906396,0.6998727314281225,0.6276405189981422,0.7397913470844871
engLME_ComparativeConstruction,0.21731521887250663,0.20130300802791865,1.0,0.2558615806138168,0.6700419984748308,0.6792467700921296,0.6924339013860094,0.2637135174881869,0.23405518521254198,0.28433456559289433
engLME_GeneralPostmodifierofAdjectiveConstruction,0.6102371424428811,0.5829683381853462,0.2558615806138168,1.0,0.5483948233498428,0.3772418873621364,0.38194159530261285,0.5687579954756453,0.9103700614317697,0.5299546877449722
engLME_MoreThanComparisonConstructiontype1,0.41552457380447255,0.43152784459122806,0.6700419984748308,0.5483948233498428,1.0,0.7935494979187007,0.7760559260864124,0.5219728452218545,0.5372537620122689,0.4798482017976798
engLME_MoreThanComparisonConstructiontype2,0.2701262589663486,0.31592458432771187,0.6792467700921296,0.3772418873621364,0.7935494979187007,1.0,0.9626961700565847,0.3764682112380305,0.3804385586982133,0.3818074754770741
engLME_MoreThanComparisonConstructiontype3,0.29169407245101114,0.33992674321906396,0.6924339013860094,0.38194159530261285,0.7760559260864124,0.9626961700565847,1.0,0.3988295416461501,0.3850843663809258,0.40348782759414165
engLME_MostLeastConstruction,0.5922678388551766,0.6998727314281225,0.2637135174881869,0.5687579954756453,0.5219728452218545,0.3764682112380305,0.3988295416461501,1.0,0.5826089731067168,0.8792741360584362
engLME_PremodifierofAdjectiveConstruction,0.5304379825122831,0.6276405189981422,0.23405518521254198,0.9103700614317697,0.5372537620122689,0.3804385586982133,0.3850843663809258,0.5826089731067168,1.0,0.545311053695826
engLME_SuperlativeConstruction,0.6165429469398404,0.7397913470844871,0.28433456559289433,0.5299546877449722,0.4798482017976798,0.3818074754770741,0.40348782759414165,0.8792741360584362,0.545311053695826,1.0
