item_a,item_b,similarity
engLME_MoreThanComparisonConstructiontype2,engLME_MoreThanComparisonConstructiontype3,0.9626961700565847
engLME_GeneralPostmodifierofAdjectiveConstruction,engLME_PremodifierofAdjectiveConstruction,0.9103700614317697
engLME_MostLeastConstruction,engLME_SuperlativeConstruction,0.8792741360584362
engLME_MoreThanComparisonConstructiontype1,engLME_MoreThanComparisonConstructiontype2,0.7935494979187007
engLME_MoreThanComparisonConstructiontype1,engLME_MoreThanComparisonConstructiontype3,0.7760559260864124
engLME_AdjectivalwithPARTNERConstruction,engLME_AdjectiveConstruction,0.7605262715393369
engLME_AdjectiveConstruction,engLME_SuperlativeConstruction,0.7397913470844871
engLME_AdjectiveConstruction,engLME_MostLeastConstruction,0.6998727314281225
engLME_ComparativeConstruction,engLME_MoreThanComparisonConstructiontype3,0.6924339013860094
engLME_ComparativeConstruction,engLME_MoreThanComparisonConstructiontype2,0.6792467700921296
engLME_ComparativeConstruction,engLME_MoreThanComparisonConstructiontype1,0.6700419984748308
engLME_AdjectiveConstruction,engLME_PremodifierofAdjectiveConstruction,0.6276405189981422
engLME_AdjectivalwithPARTNERConstruction,engLME_SuperlativeConstruction,0.6165429469398404
engLME_AdjectivalwithPARTNERConstruction,engLME_GeneralPostmodifierofAdjectiveConstruction,0.6102371424428811
engLME_AdjectivalwithPARTNERConstruction,engLME_MostLeastConstruction,0.5922678388551766
engLME_AdjectiveConstruction,engLME_GeneralPostmodifierofAdjectiveConstruction,0.5829683381853462
engLME_MostLeastConstruction,engLME_PremodifierofAdjectiveConstruction,0.5826089731067168
engLME_GeneralPostmodifierofAdjectiveConstruction,engLME_MostLeastConstruction,0.5687579954756453
engLME_GeneralPostmodifierofAdjectiveConstruction,engLME_MoreThanComparisonConstructiontype1,0.5483948233498428
engLME_PremodifierofAdjectiveConstruction,engLME_SuperlativeConstruction,0.545311053695826
