node,degree,weighted_degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
engLME_MoreThanComparisonConstructiontype1#engLME_MoreThanComparisonConstructiontype1_1,9,3.32850781738007,0.23076923076923075,0.07017543859649122,0.8351809141752885,0.11020094646974518
engLME_AdjectivalwithPARTNERConstruction#engLME_AdjectivalwithPARTNERConstruction,9,3.781406919856249,0.23076923076923075,0.044534412955465584,0.8012744364392461,0.15177292035845505
engLME_SuperlativeConstruction#engLME_SuperlativeConstruction_1,13,5.410146211946211,0.3333333333333333,0.044534412955465584,0.9410467873261968,0.29103219231930993
engLME_GeneralPostmodifierofAdjectiveConstruction#engLME_GeneralPostmodifierofAdjectiveConstruction,12,4.893705798040449,0.3076923076923077,0.018893387314439944,0.9000513142523552,0.240519257888997
engLME_PremodifierofAdjectiveConstruction#engLME_PremodifierofAdjectiveConstruction,12,4.988053536297437,0.3076923076923077,0.014844804318488529,0.9125000771382623,0.2494741700617828
engLME_MoreThanComparisonConstructiontype3#engLME_MoreThanComparisonConstructiontype3,6,3.039533671789364,0.15384615384615385,0.009446693657219972,0.33898560254019217,1.5681712425835512e-06
engLME_MoreThanComparisonConstructiontype3#engLME_MoreThanComparisonConstructiontype3_1,12,5.416201768939751,0.3076923076923077,0.008771929824561401,0.8045721093925144,0.3024078569059609
engLME_MoreThanComparisonConstructiontype2#engLME_MoreThanComparisonConstructiontype2_1,12,5.416201768939751,0.3076923076923077,0.008771929824561401,0.8045721093925144,0.3024078569059609
engLME_MostLeastConstruction#engLME_MostLeastConstruction_1,11,4.742650106134856,0.28205128205128205,0.005398110661268556,0.7812995104340636,0.2665727522411645
engLME_MoreThanComparisonConstructiontype2#engLME_MoreThanComparisonConstructiontype2,6,3.041827599150092,0.15384615384615385,0.005398110661268556,0.33852907647519875,1.5710565449803996e-06
engLME_AdjectiveConstruction#engLME_AdjectiveConstruction_1,12,5.973853893828675,0.3076923076923077,0.005398110661268556,0.7644943318198371,0.32528376759751665
engLME_MoreThanComparisonConstructiontype3#engLME_MoreThanComparisonConstructiontype3_2,5,3.145764664435423,0.1282051282051282,0.0022492127755285645,0.3003868613507968,2.0064352817270494e-06
engLME_MoreThanComparisonConstructiontype2#engLME_MoreThanComparisonConstructiontype2_2,5,3.145764664435423,0.1282051282051282,0.0022492127755285645,0.3003868613507968,2.006435281727049e-06
engLME_MoreThanComparisonConstructiontype1#engLME_MoreThanComparisonConstructiontype1_3,5,3.145764664435423,0.1282051282051282,0.0022492127755285645,0.3003868613507968,2.006435281727049e-06
engLME_PremodifierofAdjectiveConstruction#engLME_PremodifierofAdjectiveConstruction_2,10,5.429834990118431,0.2564102564102564,0.001349527665317139,0.6967000659378296,0.3239345384046754
engLME_AdjectivalwithPARTNERConstruction#engLME_AdjectivalwithPARTNERConstruction_2,8,4.494034064300212,0.20512820512820512,0.0006747638326585695,0.6479301148968925,0.2791067379747477
engLME_AdjectivalwithPARTNERConstruction#engLME_AdjectivalwithPARTNERConstruction_1,3,1.9285533905932737,0.07692307692307693,0.0006747638326585695,0.12426276889785902,1.6597525574057203e-09
engLME_GeneralPostmodifierofAdjectiveConstruction#engLME_GeneralPostmodifierofAdjectiveConstruction_1,8,4.494034064300212,0.20512820512820512,0.0006747638326585695,0.6479301148968925,0.2791067379747477
engLME_MostLeastConstruction#engLME_MostLeastConstruction_2,3,1.9285533905932737,0.07692307692307693,0.0006747638326585695,0.12426276889785902,1.6597525574057207e-09
engLME_AdjectiveConstruction#engLME_AdjectiveConstruction_2,3,1.9285533905932737,0.07692307692307693,0.0006747638326585695,0.12426276889785902,1.6597525574057203e-09
engLME_SuperlativeConstruction#engLME_SuperlativeConstruction_2,3,1.9285533905932737,0.07692307692307693,0.0006747638326585695,0.12426276889785902,1.6597525574057207e-09
engLME_ComparativeConstruction#engLME_ComparativeConstruction_1,1,0.3356422816848107,0.02564102564102564,0.0,0.5405303749839468,0.007557809063476625
engLME_AdjectivalwithPARTNERConstruction#engLME_AdjectivalwithPARTNERConstruction_3,4,1.3308594555501654,0.10256410256410256,0.0,0.7039477291602909,0.0633489551226859
engLME_AdjectiveConstruction#engLME_AdjectiveConstruction,9,4.0893770881287015,0.23076923076923075,0.0,0.778461702568659,0.15535765131144297
engLME_MoreThanComparisonConstructiontype2#engLME_MoreThanComparisonConstructiontype2_4,3,3.0,0.07692307692307693,0.0,0.07692307692307693,7.516716456446719e-06
engLME_MoreThanComparisonConstructiontype1#engLME_MoreThanComparisonConstructiontype1_5,3,3.0,0.07692307692307693,0.0,0.07692307692307693,7.516716456446719e-06
engLME_MoreThanComparisonConstructiontype1#engLME_MoreThanComparisonConstructiontype1,3,1.9156685429064835,0.07692307692307693,0.0,0.20894368543103972,9.458137272041547e-07
engLME_MoreThanComparisonConstructiontype1#engLME_MoreThanComparisonConstructiontype1_4,3,3.0,0.07692307692307693,0.0,0.07692307692307693,7.516716456446719e-06
engLME_MoreThanComparisonConstructiontype1#engLME_MoreThanComparisonConstructiontype1_2,12,5.8273666090387515,0.3076923076923077,0.0,0.7859038935247155,0.3271226326757486
engLME_ComparativeConstruction#engLME_ComparativeConstruction_2,3,1.5615789473684212,0.07692307692307693,0.0,0.20730343926781297,1.1264966810296845e-06
engLME_ComparativeConstruction#engLME_ComparativeConstruction,3,1.9227369425024823,0.07692307692307693,0.0,0.20823776706967564,9.489641328255984e-07
engLME_GeneralPostmodifierofAdjectiveConstruction#engLME_GeneralPostmodifierofAdjectiveConstruction_2,2,1.4146288592138323,0.05128205128205128,0.0,0.49909365598867633,0.011734004623477406
engLME_ComparativeConstruction#engLME_ComparativeConstruction_3,3,3.0,0.07692307692307693,0.0,0.07692307692307693,7.516716456446719e-06
engLME_ComparativeConstruction#engLME_ComparativeConstruction_4,3,3.0,0.07692307692307693,0.0,0.07692307692307693,7.516716456446719e-06
engLME_MoreThanComparisonConstructiontype2#engLME_MoreThanComparisonConstructiontype2_3,3,3.0,0.07692307692307693,0.0,0.07692307692307693,7.516716456446719e-06
engLME_MoreThanComparisonConstructiontype3#engLME_MoreThanComparisonConstructiontype3_3,3,3.0,0.07692307692307693,0.0,0.07692307692307693,7.516716456446719e-06
engLME_MoreThanComparisonConstructiontype3#engLME_MoreThanComparisonConstructiontype3_4,3,3.0,0.07692307692307693,0.0,0.07692307692307693,7.516716456446719e-06
engLME_MostLeastConstruction#engLME_MostLeastConstruction,3,2.137453165204133,0.07692307692307693,0.0,0.4645605131937258,0.04492775108743057
engLME_PremodifierofAdjectiveConstruction#engLME_PremodifierofAdjectiveConstruction_1,2,1.4146288592138323,0.05128205128205128,0.0,0.49909365598867633,0.011734004623477406
engLME_SuperlativeConstruction#engLME_SuperlativeConstruction,3,2.137453165204133,0.07692307692307693,0.0,0.4645605131937258,0.04492775108743057
