item_a,item_b,similarity
"('engLME_MoreThanComparisonConstructiontype1', 'engLME_MoreThanComparisonConstructiontype1_3')","('engLME_MoreThanComparisonConstructiontype3', 'engLME_MoreThanComparisonConstructiontype3_2')",1.0
"('engLME_MostLeastConstruction', 'engLME_MostLeastConstruction')","('engLME_SuperlativeConstruction', 'engLME_SuperlativeConstruction')",1.0
"('engLME_MoreThanComparisonConstructiontype1', 'engLME_MoreThanComparisonConstructiontype1_5')","('engLME_MoreThanComparisonConstructiontype2', 'engLME_MoreThanComparisonConstructiontype2_4')",1.0
"('engLME_GeneralPostmodifierofAdjectiveConstruction', 'engLME_GeneralPostmodifierofAdjectiveConstruction_2')","('engLME_PremodifierofAdjectiveConstruction', 'engLME_PremodifierofAdjectiveConstruction_1')",1.0
"('engLME_MoreThanComparisonConstructiontype1', 'engLME_MoreThanComparisonConstructiontype1_5')","('engLME_MoreThanComparisonConstructiontype3', 'engLME_MoreThanComparisonConstructiontype3_4')",1.0
"('engLME_MoreThanComparisonConstructiontype1', 'engLME_MoreThanComparisonConstructiontype1_3')","('engLME_MoreThanComparisonConstructiontype2', 'engLME_MoreThanComparisonConstructiontype2_2')",1.0
"('engLME_MoreThanComparisonConstructiontype1', 'engLME_MoreThanComparisonConstructiontype1_4')","('engLME_MoreThanComparisonConstructiontype3', 'engLME_MoreThanComparisonConstructiontype3_3')",1.0
"('engLME_MoreThanComparisonConstructiontype1', 'engLME_MoreThanComparisonConstructiontype1_4')","('engLME_MoreThanComparisonConstructiontype2', 'engLME_MoreThanComparisonConstructiontype2_3')",1.0
"('engLME_AdjectivalwithPARTNERConstruction', 'engLME_AdjectivalwithPARTNERConstruction_1')","('engLME_AdjectiveConstruction', 'engLME_AdjectiveConstruction_2')",1.0
"('engLME_AdjectivalwithPARTNERConstruction', 'engLME_AdjectivalwithPARTNERConstruction_2')","('engLME_GeneralPostmodifierofAdjectiveConstruction', 'engLME_GeneralPostmodifierofAdjectiveConstruction_1')",1.0
"('engLME_ComparativeConstruction', 'engLME_ComparativeConstruction_3')","('engLME_MoreThanComparisonConstructiontype2', 'engLME_MoreThanComparisonConstructiontype2_3')",1.0
"('engLME_ComparativeConstruction', 'engLME_ComparativeConstruction_4')","('engLME_MoreThanComparisonConstructiontype2', 'engLME_MoreThanComparisonConstructiontype2_4')",1.0
"('engLME_ComparativeConstruction', 'engLME_ComparativeConstruction_3')","('engLME_MoreThanComparisonConstructiontype3', 'engLME_MoreThanComparisonConstructiontype3_3')",1.0
"('engLME_ComparativeConstruction', 'engLME_ComparativeConstruction_4')","('engLME_MoreThanComparisonConstructiontype1', 'engLME_MoreThanComparisonConstructiontype1_5')",1.0
"('engLME_MoreThanComparisonConstructiontype2', 'engLME_MoreThanComparisonConstructiontype2_1')","('engLME_MoreThanComparisonConstructiontype3', 'engLME_MoreThanComparisonConstructiontype3_1')",1.0
"('engLME_ComparativeConstruction', 'engLME_ComparativeConstruction_4')","('engLME_MoreThanComparisonConstructiontype3', 'engLME_MoreThanComparisonConstructiontype3_4')",1.0
"('engLME_ComparativeConstruction', 'engLME_ComparativeConstruction_3')","('engLME_MoreThanComparisonConstructiontype1', 'engLME_MoreThanComparisonConstructiontype1_4')",1.0
"('engLME_MoreThanComparisonConstructiontype2', 'engLME_MoreThanComparisonConstructiontype2_2')","('engLME_MoreThanComparisonConstructiontype3', 'engLME_MoreThanComparisonConstructiontype3_2')",1.0
"('engLME_MoreThanComparisonConstructiontype2', 'engLME_MoreThanComparisonConstructiontype2_4')","('engLME_MoreThanComparisonConstructiontype3', 'engLME_MoreThanComparisonConstructiontype3_4')",1.0
"('engLME_MoreThanComparisonConstructiontype2', 'engLME_MoreThanComparisonConstructiontype2_3')","('engLME_MoreThanComparisonConstructiontype3', 'engLME_MoreThanComparisonConstructiontype3_3')",1.0
